   a  b  c  d  e  f  g  h  i  j  k  l
a -1  4 -1 -1 -1 -1 -1  8 -1 -1 -1 -1
b  4 -1  8 -1 -1 -1 -1 11 -1 -1 -1 -1 
c -1  8 -1  7 -1  4 -1 -1  2 -1 -1 -1
d -1 -1  7 -1  9 14 -1 -1 -1 -1 -1 -1 
e -1 -1 -1  9 -1 10 -1 -1 -1 -1 -1 -1 
f -1 -1  4 14 10 -1  2 -1 -1 -1 -1 -1
g -1 -1 -1 -1 -1  2 -1  1  6 -1 -1 -1
h  8 11 -1 -1 -1 -1  1 -1  7 -1 -1 -1 
i -1 -1  2 -1 -1 -1  6  7 -1 -1 -1 -1
j -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  3  2
k -1 -1 -1 -1 -1 -1 -1 -1 -1  3 -1 -1
l -1 -1 -1 -1 -1 -1 -1 -1 -1  2 -1 -1
